id,asking_price,body_corp,internal_m2,balcony_m2,beds,suburb,livability,condition,has_cladding,travel_time_mins,sold_date,has_parking,has_storage,has_solar,north_facing,near_shops,outdoor_space,label
10651,634000,1809,74,1.0,2,Footscray,10,new,False,5,,,False,False,False,False,False,0
2042,557000,1894,86,17.7,2,Sunbury,9,good,False,61,,False,True,False,False,True,False,0
8669,601000,1406,109,17.7,3,Werribee,8,good,False,45,,False,,,False,True,True,0
1115,616000,2517,116,8.2,2,Footscray,10,good,False,14,,True,False,False,True,False,True,0
13903,639000,2303,84,6.6,2,Richmond,16,new,False,21,,False,False,False,,True,False,0
11964,315000,1764,78,2.5,1,Geelong,11,good,False,76,,False,True,False,False,True,False,0
11073,847000,2143,122,8.3,4,Box Hill,14,new,False,42,,False,False,False,False,True,False,0
3003,698000,3138,84,10.0,2,Richmond,16,needs TLC,False,19,,False,False,False,True,True,True,0
19772,604000,3243,104,8.6,2,Richmond,16,good,False,12,,True,False,False,True,,False,0
8116,696000,2639,122,14.1,3,St Kilda,20,needs TLC,False,23,,True,True,False,True,False,False,0
3526,465000,2048,76,5.5,1,Werribee,8,good,True,45,,True,False,False,False,True,True,0
7880,607000,3654,87,9.1,1,Brunswick,12,new,False,34,,True,True,,False,True,False,0
16442,727000,3259,115,0.6,3,Box Hill,14,good,False,16,,True,False,False,True,True,False,0
16297,587000,1643,74,3.5,1,Box Hill,14,needs TLC,False,21,,True,False,False,False,True,False,1
12567,485000,997,70,13.5,1,Werribee,8,new,False,50,,True,True,False,False,True,True,0
5253,638000,1525,94,10.4,2,Brunswick,12,new,False,14,,False,False,False,False,,False,0
19394,746000,1112,106,8.9,3,Brunswick,12,new,False,5,,False,True,False,False,False,False,1
16797,595000,2389,86,0.7,2,Footscray,10,needs TLC,False,38,,True,False,False,True,True,False,0
8095,906000,2116,135,20.5,4,Carlton,18,needs TLC,False,11,,True,False,False,False,True,True,0
323,796000,1454,113,9.8,3,Richmond,16,new,False,5,,False,False,,True,True,True,0
9924,496000,896,100,19.2,3,Sunbury,9,good,False,37,,True,False,False,False,True,False,0
7460,457000,2490,92,12.6,1,Box Hill,14,good,False,38,,True,True,True,True,True,True,0
